exercise_name,exercise_url,muscle_categories,overview,instructions,tips,video_embed_url,video_thumbnail_url,video_description,video_upload_date,equipment_required,exercise_type,experience_level,force_type,mechanics,secondary_muscles,target_muscle_group
Adductors Exercises,https://www.muscleandstrength.com/exercises/adductors.html,,,,,,,,,,,,,,,
Alternate Dumbbell Bench Press (high start) Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-dumbbell-bench-press-high-start.html,Compound Exercises | Dumbbell Exercises,"The alternate dumbbell bench press exercise is a chest exercise that also challenges the stabilization muscles of the core and shoulders. By keeping one weight elevated during the alternate dumbbell bench press, you keep constant tension on the shoulder and pec. By alternating each rep, you also force your core to stabilize your body on the bench to complete each rep. Be sure to start with the weaker side of your chest when performing alternate dumbbell bench press. This exercise is a great way to challenge yourself if you are used to perform dumbbell bench press only.","Pick up the dumbbells off the floor using a neutral grip (palms facing in). Position the ends of the dumbbells in your hip crease, and sit down on the bench. | To get into position, lay back and keep the weights close to your chest. Once you are in position, take a deep breath, and press the dumbbells to lockout at the top. | Slowly lower one dumbbell under control as far as comfortably possible (the handle should be about level with your chest) while keeping the other locked out at the top. | Contract the chest and push the dumbbell back up to the starting position. | Slowly lower the other dumbbell under control as far as comfortably possible (the handle should be about level with your chest) while keeping the other locked out at the top. | Repeat for the desired number of repetitions.","Maintain more tension through the pecs by not locking out the elbows entirely. Keep the weights slightly tilted at a 45 degree angle in order to keep the elbows in a neutral position. Don’t allow the dumbbells to collide at the top of each rep - bouncing them together may cause you to lose stability within the shoulder and injure yourself. Squeeze the dumbbells as tight as possible to improve a phenomenon known as “irradiation” which promotes greater shoulder stability. Keep your shoulder blades pinched together to ensure the shoulders remain in a safe position. Imagine you’re trying to push yourself away from the weights rather than pushing the weights away from yourself. If you’re feeling pain within the shoulder joint itself (specifically at the front), ensure your shoulder blades are slightly retracted and try to keep the shoulder girdle “packed”. Ensure you maintain some tension in your abs and don’t allow your lower back to excessively arch. Keep your feet flat on the floor and don’t allow the lower body to move during the set.",https://www.youtube.com/embed/LL561B2xQu0?rel=0,https://i.ytimg.com/vi/LL561B2xQu0/maxresdefault.jpg,Alternate Dumbbell Bench Press (high start) instruction video & exercise guide! Learn how to do alternate dumbbell bench press (high start) using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Intermediate,Push (Unilateral),Compound,"Shoulders, Triceps",Chest
Alternate Seated Dumbbell Press Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-seated-dumbbell-press.html,Compound Exercises | Dumbbell Exercises | Shoulders,"The seated alternating dumbbell press is a variation of the seated dumbbell press and an exercise utilized to build shoulder muscle size and strength. By alternating the shoulder press, you will challenge both your shoulder and core stability to maintain proper alignment and form throughout the exercise. Alternating and unilateral exercises are especially helpful in building balanced size and strength.","Set up an adjustable angle bench to 90 degrees and select the desired weight from the rack. | Pick up the dumbbells from the floor using a neutral grip (palms facing in). Position the end of the dumbbells on your knees and sit down on the bench. | Using a safe and controlled motion, kick your knees up one at a time in order to get each dumbbell into place. | Once the dumbbells are in place, rotate your palms so they are facing forward. | Take a deep breath then press the one dumbbell overhead by extending the elbow and contracting the deltoid. | Slowly lower the dumbbells back to the starting position and then press the other overhead by repeating step #5. | Repeat for the desired number of repetitions.","Keep your back flat against the pad throughout the duration of the exercise. Don’t allow the head to jut forward excessively. Drive the bicep to the ear and exhale as you press. If you sense any pressure in your neck or traps during the movement, look to address a lack of thoracic spine extension or shoulder flexion. Keeping the elbows slightly bent at the top and not locking out entirely will help to keep tension on the shoulders. If you can’t lock out the elbows overhead than it may indicate a lack of shoulder mobility due to poor scapular upward rotation.",https://www.youtube.com/embed/AYacfAeoNGo?rel=0,https://i.ytimg.com/vi/AYacfAeoNGo/maxresdefault.jpg,Alternate Seated Dumbbell Press instruction video & exercise guide! Learn how to do alternate seated dumbbell press using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Push (Unilateral),Compound,"Traps, Triceps",Shoulders
Alternating Bent-Over Dumbbell Kickback Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-bent-over-dumbbell-kickback.html,Dumbbell Exercises | Isolation Exercises | Triceps,,"Select the appropriate dumbbells and place them on the floor in front of you. | Bending at the knees and keeping your back straight, squat down and pick up the dumbbells with a neutral grip (palms facing inward). Your feet should be around shoulder-width apart. | Get into the starting position by keeping your back straight, bending slightly at the knees, and bending over at the waist. Your torso should almost be parallel to the floor. | Tuck your upper arms close to your torso and bend at the elbows, forming a 90-degree angle with your upper arms and forearms. This is the starting position. | Beginning with your left arm and moving only at the elbow, raise the dumbbell behind you until your arm is fully extended. | Pause, and then lower the dumbbell back to the starting position. | Repeat this movement with your right arm and then repeat for desired reps.","Focus on moving the weight with your triceps, keeping control of the weight as you slowly lower the dumbbells back to the starting position. Keep your body as still as possible, moving only your forearms. Keep your head up and your eyes forward throughout the exercise.",https://player.vimeo.com/video/756784478?h=ddc9052b1e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Bent Over Dumbbell Kickback instruction video & exercise guide! Learn how to do alternate bent over dumbbell kickback using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Push,Isolation,None,Triceps
Alternating Decline Dumbbell Fly Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-decline-dumbbell-flys.html,Chest | Isolation Exercises,,"Set up for the exercise by placing a pair of dumbbells in front of a decline bench. | Grasp each dumbbell and lay back on the decline bench with your feet secured in the padding. | Both arms should be outstretched above your body with your palms facing inward. The dumbbells should not be touching. This is the starting position for the movement. | Keeping your elbows fixed and slightly bent, and rotating at the shoulders only, lower the dumbbell in your left hand in a semicircle motion as low as comfortably possible. | Once the dumbbell is about level with your chest, squeeze the chest muscles and raise the dumbbell back up using the same path of motion (semicircle) as you did on the way down. | Don't let the dumbbells touch, and then slowly lower the right one using the same motion as with the fist. This is one rep. | Repeat for desired reps.","This exercise should be done slowly, focusing on the stretch and contraction of the pectoral muscles. Don't pause or let the dumbbells touch at the top of the exercise. Use a full range of motion by lowering the dumbbells as far as comfortably possible. Always use a wide semicircle motion when doing this exercise - don't allow the dumbbells to come too close to the body.",https://player.vimeo.com/video/756783540?h=e392730f7c&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Decline Dumbbell Flys instruction video & exercise guide! Learn how to do alternate decline dumbbell flys using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Push,Isolation,Shoulders,Chest
Alternating Dumbbell Bench Press (Low Start) Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-dumbbell-bench-press-low-start.html,Chest | Compound Exercises,,"Set up for the exercise by sitting a pair of dumbbells at the end of a flat bench. | Pick up the dumbbells off the floor using a neutral grip (palms facing in), position the ends of the dumbbells on your thighs, and sit down on the bench. | To get in position you need to rock back pushing the dumbbells back with your thighs and only slightly bending at the elbows. Now you should be in position to start the set, laying back on the bench holding them dumbbells straight up above your chest | Slowly lower both the dumbbells until you're holding them just off your outer chest. This is the starting position for the exercise. | Slowly push the left dumbbell straight up as far as possible without locking your elbow. | Do not pause. Then slowly lower back to the starting position. | Repeat for your right arm. | This is one rep. Now repeat for desired reps. | Once you have finished the set, do not drop the dumbbells. Straighten your arms, twist the dumbbells around to the neutral position (palms facing each other), bring your knees up so the ends of the dumbbells are touching your thighs and then use the weight of the dumbbells to rock back to a seated position.",This exercise is a variation of the dumbbell bench press . You can also so this exercise with a high start . As a general rule you should always work the weakest side of your chest first. For most people this will be the left wide. You can use this exercise to bring up weaker areas of the chest. Keep the rep timing slow and control the weight throughout the set.,https://player.vimeo.com/video/756783506?h=35afc36cfa&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Dumbbell Bench Press (low start) instruction video & exercise guide! Learn how to do alternate dumbbell bench press (low start) using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Push,Compound,"Shoulders, Triceps",Chest
Alternating Dumbbell Fly Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-dumbbell-flys.html,Dumbbell Exercises | Isolation Exercises,,"Grab a set of dumbbells and sit on the end of a flat bench with the dumbbells resting on your thighs. | Lay back on the bench and extend your arms out, holding the dumbbells with a neutral grip (palms facing each other). The dumbbells should not be touching. Keep your feet planted on the floor for balance. | Bend your arms slightly. This is the starting position for the exercise. | Slowly lower the dumbbell in the left hand out to your side in a semicircle. Rotate at the shoulders only, keeping your arm slightly bent. | Once the dumbbell gets about level with your chest, squeeze the chest muscles and raise the dumbbell back up using the same path of motion (semicircle) as you did on the way down. Don't let the dumbbells touch. | Repeat the movement with your right arm. | Repeat for desired reps.",Start with your weakest side first. For most people this is their left side. Always use slow and controlled movements. The key to this exercise is stretch and contraction - not moving heavy weights. Save that for the big compound movements!,https://player.vimeo.com/video/756783487?h=d24eaac4b6&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Dumbbell Flys instruction video & exercise guide! Learn how to do alternate dumbbell flys using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Push,Isolation,Shoulders,Chest
Alternating Dumbbell Front Raise Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-standing-dumbbell-front-raise.html,Dumbbell Exercises | Isolation Exercises | Shoulders,"The alternating dumbbell front raise is a shoulder exercise used to target the front deltoids. The front deltoid is involved in several pressing movements and working to increase the strength of this muscle group can have a positive carry-over into your heavy pushing lifts. From an aesthetics standpoint, bigger front deltoids can lead to the appearance of a complete set of shoulders and a wider framed upper body. Performing unilateral movements can help improve weaknesses, balance your strength and aesthetic physique, and work towards reducing injuries by addressing imbalances in the body.","Grab a pair of dumbbells with a neutral grip and assume a shoulder-width stance. This is the starting position. | Inhale, brace your core and slowly raise one arm vertically while keeping a slight bend in your elbow. | Moving only at the shoulder, continue raising the dumbbell until your arm is just above parallel to the floor. | Pause for a brief moment at the top of the movement, and slowly lower the dumbbell back to the starting position. | Immediately repeat on the other arm. This is one rep. | Repeat for desired reps.","Practice good form by using a lighter weight. Use slow and controlled movement - avoid ""swinging"" the weights up and dropping them quickly.",https://player.vimeo.com/video/760002356?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Standing Dumbbell Front Raise instruction video & exercise guide! Learn how to do alternate standing dumbbell front raise using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Pull,Isolation,None,Shoulders
Alternating Dumbbell Hammer Preacher Curl Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-dumbbell-hammer-preacher-curl.html,Biceps | Dumbbell Exercises | Isolation Exercises,,"Adjust the height of the seat on the preacher bench so that when you sit on it the back of your upper arms sit comfortably flat on the padding. | Grab a set of dumbbells and sit on the preacher bench. Your arms should be resting on the padding and be around shoulder width apart. | You will be using a neutral grip (palms facing each other). Allow the weight to drop and the arms to fully extend. This is the starting position for the exercise. | Starting with your weakest arm (usually the left), slowly curl the dumbbell up as far as possible, squeezing the bicep at the top of the movement. | Lower the weight back until your arm is fully extended, and repeat for the other arm.",Control the weight on the way down (stretch). Always start the exercise with your weakest arm. Use the maximum rep range by allowing the dumbbell to go down until your arm is fully outstretched.,https://player.vimeo.com/video/756793976?h=b0e4512b82,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Dumbbell Hammer Preacher Curl instruction video & exercise guide! Learn how to do alternate dumbbell hammer preacher curl using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Pull,Isolation,Forearms,Biceps
Alternating Dumbbell Lateral Raise Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-dumbbell-lateral-raise.html,Dumbbell Exercises | Isolation Exercises | Shoulders,"Alternating dumbbell lateral raises are a variation of the dumbbell lateral raise and are used to isolate the muscles of the shoulder. Performing unilateral movements can help improve weaknesses, balance your strength and aesthetic physique, and work towards reducing injuries by addressing imbalances in the body.","Grab two dumbbells with a neutral grip and assume a shoulder-width stance. This is the starting position for the exercise. | Slowly raise the one dumbbell to around shoulder height. Pause, and then slowly lower the dumbbell back to the starting position. | Immediately repeat on the other arm. This is one rep. | Repeat for the desired rep range.","Avoid allowing your hands to go higher than your elbow. Because this is an isolation exercise, the focus should be on working the muscle correctly - not moving as much weight as you can.",https://player.vimeo.com/video/760002335?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Dumbbell Lateral Raise instruction video & exercise guide! Learn how to do alternate dumbbell lateral raise using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Pull,Isolation,None,Shoulders
Alternating Dumbbell Preacher Curl Video Exercise Guide,https://www.muscleandstrength.com/exercises/alternate-dumbbell-preacher-curl.html,Biceps | Dumbbell Exercises | Isolation Exercises,,"Adjust the height of the seat on the preacher bench so that when you sit on it, the back of your upper arms rest comfortably flat on the padding. | Grab a set of dumbbells and sit on the preacher bench. | Your arms should be resting on the padding and be around shoulder width apart. | Allow the weight to drop and the arms to fully extend. This is the starting position for the exercise. | Starting with your weakest arm, slowly curl the dumbbell up, squeezing the bicep at the top of the movement. | Lower the weight back until your arm is fully extended, and then repeat for the other arm. | This is one rep, now repeat to complete the set.","Control the weight, lowering it slowly. As a general rule, always work your weakest body part/side first. For most people, this will be their left arm. Focus on the contraction and stretch on the bicep muscle. Work that mind-muscle connection!",https://player.vimeo.com/video/756793942?badge=0&amp;autopause=0&amp;quality_selector=1&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Alternate Dumbbell Preacher Curl instruction video & exercise guide! Learn how to do alternate dumbbell preacher curl using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Pull,Isolation,None,Biceps
Alternating Dumbbell Reverse Grip Curl Video Exercise Guide,https://www.muscleandstrength.com/exercises/standing-alternate-dumbbell-reverse-curl.html,Dumbbell Exercises | Forearms | Isolation Exercises,,"Set up for the exercise by grasping a set of dumbbells and standing up with the dumbbells by your side. | Your palms should be facing down, using a reverse grip and the dumbbells not touching your body. | Before starting the set, take up the slack by lifting the weight slightly so the tension is on your bicep muscles. | Starting with your weakest arm (usually the left), curl the dumbbell up as far as possible. | Squeeze the forearm at the top of the exercise, and then slowly lower the weight without it touching your body or taking the tension off your bicep. | Repeat for the other arm. That's one rep.","Do not rest the weights on your body or let them hang down. Keep your body fixed throughout the set, you should not be swinging as you raise the weight. Use a full range of motion and keep the rep timing slow.",https://player.vimeo.com/video/760002036?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,https://i.ytimg.com/vi//maxresdefault.jpg,Standing Alternate Dumbbell Reverse Curl instruction video & exercise guide! Learn how to do standing alternate dumbbell reverse curl using correct technique for maximum results!,2009-09-16,Dumbbell,Strength,Beginner,Pull,Isolation,Biceps,Forearms
