muscle_group,muscle_group_url,exercise_name,exercise_url,overview,description,force,mechanics,equipment,difficulty,primary_muscles,secondary_muscles,steps,image_url,scrape_status
Abs,https://www.muscleandstrength.com/exercises/abs,Barbell Climbs ,https://www.muscleandstrength.com/exercises/barbell-climbs,The barbell climb is an abdominal and core exercise and an advanced variation of the plank and barbell rollout . Barbell climbs are very advanced and should not be attempted until serious prerequisite strength has already been established.,The barbell climb is an abdominal and core exercise and an advanced variation of the plank and barbell rollout . Barbell climbs are very advanced and should not be attempted until serious prerequisite strength has already been established.,Isometric,Compound,Barbell,Advanced,Abs,None,"Assume a wider than shoulder width stance with your hands on a barbell overhead. || Walk your hands down the barbell until your arms are overhead and your body is parallel to the floor. || Walk your hands back up the barbell to the starting position. || Repeat for the desired number of repetitions. || This is one of the most advanced anti-extension core movement, make sure you’ve worked the requisite progressions before moving to this variation. || Ensure the rib cage stays down and the lower back doesn't arch as you reach overhead. || If you find you can’t maintain a neutral spinal position during the exercise then choose other variations such as wall press heel tap and hip extension which provide more stability and shorten the lever arm. || Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath. Exhale as you reach overhead.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Barbell Side Bends ,https://www.muscleandstrength.com/exercises/barbell-side-bends.html,,,N/A,Isolation,Barbell,Beginner,Abs,Lower Back,"Grab a light barbell and rest it across the back of your shoulders. Rest the bar on the muscle (traps), not your neck. || Sit down on a flat bench with your feet at wider than shoulder width apart and your back straight. || Slowly move the right side of the bar towards floor while keeping your back straight and your eyes looking forward. Stretch as far as possible. || Slowly raise the bar back up and straight down to the left side (do not pause in the middle). || Always keep your eyes facing forwards, so don't look down or to the side. || This exercise works the obliques so try and focus on contraction and stretch of the obliques throughout the movement. || This exercise can also be done while standing.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Jackknife (On Bench) ,https://www.muscleandstrength.com/exercises/bench-jack-knife.html,,,N/A,Compound,Bodyweight,Beginner,Abs,None,"Lay down on a flat bench with your legs hanging off one end. || Extend your arms above your head and straighten your legs. This is the start of the exercise. || In one motion, while keeping your hands and feet together, raise your legs and arms as if trying to touch them together. || Lower back to the starting position. Repeat for desired reps.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Bird Dog with Band RNT ,https://www.muscleandstrength.com/exercises/bird-dog-with-band-rnt,"The bird dog with band RNT is a variation of the bird dog exercise and is used to strengthen the muscles of the core. The bird dog with band RNT stems from the plank exercise family tree and builds core muscle by requiring the core to stabilize the spine while reaching one arm forward and the opposite leg back. The band used during the bird dog with band RNT provides accommodating resistance, meaning the exercise gets more difficult the further the band gets stretched out.","The bird dog with band RNT is a variation of the bird dog exercise and is used to strengthen the muscles of the core. The bird dog with band RNT stems from the plank exercise family tree and builds core muscle by requiring the core to stabilize the spine while reaching one arm forward and the opposite leg back. The band used during the bird dog with band RNT provides accommodating resistance, meaning the exercise gets more difficult the further the band gets stretched out.",Isometric,Compound,Bands,Intermediate,Abs,None,"Assume a quadruped position with your knees under hips, hands under shoulders, and toes tucked. || Attach a band to the opposite foot and hand. || Extend the opposite arm and leg while keeping your hips and torso stable. || Slowly lower the arm and leg back to the starting position. || Repeat for the desired number of repetitions. || When you extend the leg, ensure the movement comes entirely from hip extension and you don’t substitute lumbar extension instead (i.e. when you extend the leg, your back shouldn’t arch, you shouldn’t feel a contraction in your spinal erectors, and the leg should be inline with your torso.) || Similarly, as you reach overhead, watch for excessive extensive through the lumbar spine as a compensation. || As you reach overhead, you should be able to feel your lower trap (at the bottom edge of your scapula closest to your spine) working somewhat reflexively. || If you find you can’t seem to get the hip fully extended or the arm fully overhead, check your core position first (i.e. fix the extension bias). Then, look at a lack of thoracic extension, glute activation, core stability, or scapular upward rotation. || Exhale as you reach and push. Imagine you’re trying to balance a cup of water on your back as you complete reps. The goal is control repetitions, not just the quantity of reps performed.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Bottoms Up Kettlebell Turkish Get Up ,https://www.muscleandstrength.com/exercises/bottoms-up-kettlebell-turkish-get-up,"The bottoms up kettlebell Turkish get up is a variation of the Turkish get up exercise. The Turkish get up is a full body movement that challenges the muscles of the core to stabilize the spine as you go from a side lying position to a standing position all while maintaining a weight overhead. The exercise can be incorporated into any kind of program, but is best used as a corrective and/or warm up exercise.","The bottoms up kettlebell Turkish get up is a variation of the Turkish get up exercise. The Turkish get up is a full body movement that challenges the muscles of the core to stabilize the spine as you go from a side lying position to a standing position all while maintaining a weight overhead. The exercise can be incorporated into any kind of program, but is best used as a corrective and/or warm up exercise.",Push (Bilateral),Compound,Kettle Bells,Beginner,Abs,"Adductors, Glutes, Hamstrings, Quads, Shoulders, Upper Back","Setup in a side lying position with the kettlebell in a front racked position and your hands overlapped on the handle. || Roll onto your back and rotate the kettlebell into a bottoms up position using your free hand. || Press the kettlebell to extension and extend your free hand to the side. || Raise the knee on the same side as the kettlebell. (i.e. if you’re holding the weight in your R hand, your R knee should be flexed) || Sit up to the elbow as you punch the kettlebell overhead. || Extend the elbow you’re braced on and push yourself up to your hand. || Bridge the hips up while keeping one leg straight. || Once the hips are extended, sweep the straight leg through and assume a half kneeling position with one hand still on the floor and the other overhead. || Bring the torso upright, reposition the down leg so that it’s in-line with the forward leg, and then drive up to a standing position out of the half kneeling stance. || From the standing position, simply step back in a reverse lunge to revert to the half kneeling position. || Repeat steps #1-8 in reverse order to get back to the supine starting position. || Repeat for the desired number of repetitions. || You should be looking at the kettlebell for the ENTIRE duration of the exercise. As you become more experienced, you may be able to look straight ahead once you get to the half kneeling stance but initially it’s wise to just focus solely on the weight overhead. || Don’t start with heavy weight (or any weight at all if just learning the get up), use a shoe, a ball, or something else with a relatively light weight. || For the initial sit-up portion of the lift, use the cue from Dan John, “Punch and crunch!” || The turkish get up is mainly used a corrective exercise or warm up drill. It can be used in more general population settings. || Focus on squeezing the handle of the kettlebell tightly to improve stability at the shoulder.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Bottoms Up Kettlebell Turkish Get Up to Hand ,https://www.muscleandstrength.com/exercises/bottoms-up-kettlebell-turkish-get-up-to-hand,The bottoms up kettlebell Turkish get up to hand is a variation of the Turkish get up and a total body exercise. The bottoms up kettlebell Turkish get up to hand emphasizes strengthening the core through stabilization. The Turkish get up to hand is a good exercise to use to help you progress to a full Turkish get up.,The bottoms up kettlebell Turkish get up to hand is a variation of the Turkish get up and a total body exercise. The bottoms up kettlebell Turkish get up to hand emphasizes strengthening the core through stabilization. The Turkish get up to hand is a good exercise to use to help you progress to a full Turkish get up.,Push (Bilateral),Compound,Kettle Bells,Beginner,Abs,None,"Setup in a side lying position with the kettlebell in a front racked position and your hands overlapped on the handle. || Roll onto your back and rotate the kettlebell into a bottoms up position using your free hand. || Press the kettlebell to extension and extend your free hand to the side. || Raise the knee on the same side as the kettlebell. (i.e. if you’re holding the weight in your R hand, your R knee should be flexed) || Sit up to the elbow as you punch the kettlebell overhead. || Extend the elbow you’re braced on and push yourself up to your hand. || Repeat steps #1-4 in reverse order to get back to the supine starting position. || Repeat for the desired number of repetitions. || You should be looking at the kettlebell for the ENTIRE duration of the exercise. As you become more experienced, you may be able to look straight ahead once you get to the half kneeling stance but initially it’s wise to just focus solely on the weight overhead. || Don’t start with heavy weight (or any weight at all if just learning the get up), use a shoe, a ball, or something else with a relatively light weight. || For the initial sit-up portion of the lift, use the cue from Dan John, “Punch and crunch!” || The turkish get up is mainly used a corrective exercise or warm up drill. It can be used in more general population settings. || Focus on squeezing the handle of the kettlebell tightly to improve stability at the shoulder.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Bottoms Up Kettlebell Turkish Get Up to Knee ,https://www.muscleandstrength.com/exercises/bottoms-up-kettlebell-turkish-get-up-to-knee,The bottoms up kettlebell Turkish get up to knee is a variation of the Turkish get up and a total body exercise. The bottoms up kettlebell Turkish get up to knee emphasizes strengthening the core through stabilization. The Turkish get up to knee is a good exercise to use to help you progress to a full Turkish get up.,The bottoms up kettlebell Turkish get up to knee is a variation of the Turkish get up and a total body exercise. The bottoms up kettlebell Turkish get up to knee emphasizes strengthening the core through stabilization. The Turkish get up to knee is a good exercise to use to help you progress to a full Turkish get up.,Push (Bilateral),Compound,Kettle Bells,Beginner,Abs,"Adductors, Glutes, Hamstrings, Quads, Shoulders, Upper Back","Setup in a side lying position with the kettlebell in a front racked position and your hands overlapped on the handle. || Roll onto your back and rotate the kettlebell into a bottoms up position using your free hand. || Press the kettlebell to extension and extend your free hand to the side. || Raise the knee on the same side as the kettlebell. (i.e. if you’re holding the weight in your R hand, your R knee should be flexed) || Sit up to the elbow as you punch the kettlebell overhead. || Extend the elbow you’re braced on and push yourself up to your hand. || Bridge the hips up while keeping one leg straight. || Once the hips are extended, sweep the straight leg through and assume a half kneeling position with one hand still on the floor and the other overhead. || Bring the torso upright and reposition the down leg so that it’s in-line with the forward leg. || Repeat steps #1-7 in reverse order to get back to the supine starting position. || Repeat for the desired number of repetitions. || You should be looking at the kettlebell for the ENTIRE duration of the exercise. As you become more experienced, you may be able to look straight ahead once you get to the half kneeling stance but initially it’s wise to just focus solely on the weight overhead. || Don’t start with heavy weight (or any weight at all if just learning the get up), use a shoe, a ball, or something else with a relatively light weight. || For the initial sit-up portion of the lift, use the cue from Dan John, “Punch and crunch!” || The turkish get up is mainly used a corrective exercise or warm up drill. It can be used in more general population settings. || Focus on squeezing the handle of the kettlebell tightly to improve stability at the shoulder.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Cable Crunch ,https://www.muscleandstrength.com/exercises/cable-crunch.html,"The Cable Crunch is an effective core exercise that targets the abdominal muscles, particularly the rectus abdominis. Unlike floor crunches , the cable crunch reduces neck strain by allowing you to focus on using your abs without needing to lift your head or shoulders. It also helps improve spinal flexion, a fundamental movement for building a strong, functional core. This exercise helps strengthen and define the core, improve posture , and enhance overall abdominal endurance. Proper form is crucial to avoid strain on the lower back and ensure maximum activation of the ab muscles.","The Cable Crunch is an effective core exercise that targets the abdominal muscles, particularly the rectus abdominis. Unlike floor crunches , the cable crunch reduces neck strain by allowing you to focus on using your abs without needing to lift your head or shoulders. It also helps improve spinal flexion, a fundamental movement for building a strong, functional core. This exercise helps strengthen and define the core, improve posture , and enhance overall abdominal endurance. Proper form is crucial to avoid strain on the lower back and ensure maximum activation of the ab muscles.",Pull,Isolation,Cable,Beginner,Abs,None,"Attach a rope handle to the high pulley of a cable machine. || Kneel in front of the machine and hold the rope with both hands, bringing it around your head. || Keep your knees slightly bent and your hips stationary. This is the starting position. || Engage your core and pull the rope down by crunching your torso forward. || Continue to pull the rope towards your knees, focusing on contracting your abs. Keep your elbows fixed. || Release the tension and slowly return to the starting position. This is one rep. || Perform the desired number of reps while maintaining control and good form.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Roman Chair Knee Raise ,https://www.muscleandstrength.com/exercises/chair-knee-raise.html,,,Pull,Compound,Bodyweight,Beginner,Abs,None,"Position yourself on the Roman chair with your back against the pad and your legs hanging straight down. || Grip the handles for support. This is the starting position. || Lift your knees by squeezing your lower abs. || Stop when your knees are about parallel to the floor or higher if you can. || Pause, then slowly lower your knees and extend your legs back down to the starting position with control, avoiding letting them drop quickly. This is one rep. || Perform the desired number of reps, focusing on keeping your core engaged throughout the movement.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Roman Chair Twisting Knee Raise ,https://www.muscleandstrength.com/exercises/chair-twisting-knee-raise.html,,,Pull,Compound,Bodyweight,Intermediate,Abs,Hip Flexors,"Position yourself on the Roman chair with your back against the pad and your legs hanging straight down. || Grip the handles for support. This is the starting position. || Slowly raise your knees up and across your body as far as possible to one side. || Stop when your knees are about parallel to the floor or higher if you can. || Pause, then slowly lower back to starting position with control, avoiding letting them drop quickly. || Repeat that movement on the opposite side. That is one repetition. || Perform the desired number of reps, focusing on keeping your core engaged throughout the movement.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
Abs,https://www.muscleandstrength.com/exercises/abs,Contralateral Bird Dog ,https://www.muscleandstrength.com/exercises/contralateral-bird-dog,The contralateral bird dog is a variation of the bird dog exercise and is used to strengthen the muscles of the core. The contralateral bird dog stems from the plank exercise family tree and builds core muscle by requiring the core to stabilize the spine while reaching one arm forward and the opposite leg back.,The contralateral bird dog is a variation of the bird dog exercise and is used to strengthen the muscles of the core. The contralateral bird dog stems from the plank exercise family tree and builds core muscle by requiring the core to stabilize the spine while reaching one arm forward and the opposite leg back.,Isometric,Compound,Bodyweight,Beginner,Abs,None,"Assume a quadruped position with your knees under hips, hands under shoulders, and toes tucked. || Extend the opposite arm and leg while keeping your hips and torso stable. || Slowly lower the arm and leg back to the starting position. || Repeat for the desired number of repetitions. || When you extend the leg, ensure the movement comes entirely from hip extension and you don’t substitute lumbar extension instead (i.e. when you extend the leg, your back shouldn’t arch, you shouldn’t feel a contraction in your spinal erectors, and the leg should be inline with your torso.) || Similarly, as you reach overhead, watch for excessive extensive through the lumbar spine as a compensation. || As you reach overhead, you should be able to feel your lower trap (at the bottom edge of your scapula closest to your spine) working somewhat reflexively. || If you find you can’t seem to get the hip fully extended or the arm fully overhead, check your core position first (i.e. fix the extension bias). Then, look at a lack of thoracic extension, glute activation, core stability, or scapular upward rotation. || Exhale as you reach and push. Imagine you’re trying to balance a cup of water on your back as you complete reps. The goal is control repetitions, not just the quantity of reps performed.",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Abs.jpg,ok
