id,name,category,primary_muscles,description,progression_1,progression_2,progression_3
114,Russian Twist,core,"[obliques, rectus abdominis, hip flexors]","Seated with feet off ground, rotate torso side to side.",Russian Twist with Feet on Ground,Russian Twist with Feet Elevated,Slow-Tempo Russian Twist
115,Bicycle Crunch,core,"[obliques, rectus abdominis, hip flexors]","Lying supine, bring opposite elbow to opposite knee in a pedaling motion.",Slow Bicycle Crunch (feet touching ground),Standard Bicycle Crunch,Extended-Leg Bicycle Crunch
116,Bird Dog,core,"[transverse abdominis, erector spinae, glutes]","From quadruped, extend opposite arm and leg while keeping torso stable.",Single-Limb Bird Dog,Standard Bird Dog,Bird Dog from Push-Up Position
117,Superman Hold,core,"[erector spinae, glutes, rear deltoids]","Lying face-down, lift arms and legs off ground simultaneously.",Alternating Superman (one arm + opposite leg),Full Superman Hold (2-3s),Superman Hold (10s+) / Superman Rocks
118,Arch Body Hold,core,"[erector spinae, glutes, rear deltoids]","Posterior counterpart to hollow body - lie face-down, lift arms and legs in sustained arch.",Arms-at-Sides Arch Hold,Full Arch Hold (arms overhead),Arch Body Rocks
119,Reverse Crunch,core,"[rectus abdominis, hip flexors]","Lying supine, bring knees toward chest and lift hips off ground.",Partial Reverse Crunch (knees to chest),Full Reverse Crunch (hips lift),Decline Reverse Crunch
120,V-Up,core,"[rectus abdominis, hip flexors]","Lying flat, simultaneously raise straight legs and torso to touch toes forming a V.",Tuck-Up (knees bent),Standard V-Up,Weighted V-Up
121,Mountain Climber,core,"[rectus abdominis, hip flexors, shoulders, quads]","From high plank, rapidly alternate driving each knee toward chest.",Slow Mountain Climbers,Standard Mountain Climbers,Cross-Body Mountain Climbers
122,Lying Leg Raise,core,"[rectus abdominis, hip flexors]","Lying supine, raise straight legs from floor to vertical and lower with control.",Bent-Knee Leg Raise,Straight-Leg Raise to 90 Degrees,Slow Negative Leg Raise (1 inch off floor)
123,Pike Compression,core,"[hip flexors, rectus abdominis, quads]","Seated with legs straight, actively pull torso to thighs using hip flexor strength.",Seated Pike (hands pushing thighs),Seated Pike Lift (feet off floor),Standing Pike Compression
124,Plank Shoulder Tap,core,"[transverse abdominis, obliques, shoulders]","From high plank, alternately tap opposite shoulder resisting torso rotation.",Wide-Stance Shoulder Taps,Narrow-Stance Shoulder Taps,Elevated-Feet Shoulder Taps
125,Body Saw,core,"[rectus abdominis, deep core stabilizers]","From forearm plank, rock body forward and backward increasing lever arm.",Small Range Body Saw,Full Range Body Saw,Body Saw with Feet on Sliders
126,Handstand Hold,skill,"[shoulders, triceps, core, trapezius, forearms]",Balancing upside-down on hands with body in straight vertical line.,Wall-Assisted Handstand Hold,Freestanding Kick-Up Handstand,One-Arm Handstand
127,Press to Handstand,skill,"[shoulders, core, hip flexors]","Controlled strength-based entry into handstand from standing, no kicking.",Tuck Press to Handstand,Straddle Press to Handstand,Pike Press to Handstand (legs together)
128,Elbow Lever,skill,"[core, wrists, forearms, shoulders]",Balancing body horizontally face-down on bent elbows pressed into abdomen.,Tucked Elbow Lever,Straddle Elbow Lever,Full Elbow Lever (body straight)
129,Crow Pose,skill,"[anterior deltoids, wrists, forearms, core]","Arm balance with knees resting on backs of upper arms, leaning forward on hands.",Frog Stand (toes may touch ground),Crow Pose (30s hold),"Crane Pose (arms straight, no elbow contact)"
130,Iron Cross,skill,"[chest, biceps, anterior deltoids, core]","On rings, hang upright with arms extended straight out to sides forming a cross.",Ring Support Hold (RTO),Band-Assisted Iron Cross,Full Iron Cross Hold
131,Maltese Cross,skill,"[chest, anterior deltoids, biceps, core]","Horizontal hold on rings with arms extended laterally, body parallel to ground.",Straddle Planche (prerequisite),Narrow-Grip Maltese Lean,Full Maltese on Rings
132,Victorian Cross,skill,"[lats, rear deltoids, biceps, core, trapezius]","On rings, body horizontal face-down with arms extended laterally. Inverted maltese.",Full Front Lever (prerequisite),Forearm-Assisted Victorian Hold,Full Victorian Cross on Rings
133,Ring Support Hold,skill,"[chest, triceps, shoulders, biceps, core]",Top of dip position on rings with arms locked out and rings turned out.,Ring Support (rings parallel),RTO 45 Degrees (30s hold),Full RTO 90 Degrees (30s+ hold)
134,Back Bridge,skill,"[spinal erectors, glutes, shoulders, hip flexors]","Press up into full backbend, hands and feet on ground forming inverted U.",Glute Bridge (hips only),Full Bridge (arms straight),Stand-to-Bridge / One-Arm Bridge
135,Neck Bridge,skill,"[neck, trapezius, spinal erectors]","Bridging onto top of head/neck with back arched, feet on floor.",Supported Neck Bridge (hands assisting),Full Neck Bridge (head and feet only),Front Neck Bridge / Rotations
136,Japanese Handstand,skill,"[shoulders, triceps, core]","Handstand on rings with exaggerated lean, hands near hip level.",Ring Handstand with Slight Lean,Moderate Japanese Handstand Lean,Full Japanese Handstand
